Modalità;Punteggio AI;Consiglio;Titolo;Azienda;Sede;Fonte;Programmazione richiesta;Smart Working;Contratto;Junior Friendly;Anni esperienza richiesti;Punti forza per Diego;Punti deboli per Diego;Riassunto AI;Stipendio Min (jobspy);Stipendio Max (jobspy);RAL Stimata AI;Reputazione Azienda;Adatta Neolaureati;Note Azienda;Ricerca usata;Link;Mandata candidatura?
Full Remote IT;6;Valutabile;Business Analyst con esperienza su piattaforma RGI PASS;Energent S.p.A.;Milan, Lombardy, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta è per un Business Analyst, ruolo in linea con le sue preferenze;La programmazione potrebbe essere richiesta;L'offerta è per un Business Analyst presso Energent S.p.A. con esperienza su RGI PASS;N/D;N/D;30.000€-40.000€;Buona;Sì;Energent S.p.A. sembra essere un'azienda con una buona reputazione;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4375855297;
Torino;6;Valutabile;Data Analyst (0 Experience Required);Peroptyx;;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta è junior-friendly e richiede 0 esperienza.;Non specificato il tipo di contratto e smart working.;Data Analyst per Peroptyx, junior-friendly, RAL non specificata.;N/D;N/D;20.000€-30.000€;Sconosciuta;Sì;Peroptyx sembra essere un'azienda poco conosciuta.;Junior IT Consultant;https://www.linkedin.com/jobs/view/4379959263;
Torino;6;Valutabile;IT Support Technician, Ops Tech Sol Delivery;Amazon;Torrazza Piemonte, Piedmont, Italy;linkedin;Media;Sì;Dipendente;Sì;0;Amazon offre opportunità di crescita professionale;Il ruolo richiede programmazione, che non è la sua preferenza;Ruolo IT Support Technician presso Amazon, con possibilità di smart working;N/D;N/D;25.000€-35.000€;Ottima;Sì;Azienda leader nel settore tecnologico;Junior IT Consultant;https://www.linkedin.com/jobs/view/4364016061;
Torino;6;Valutabile;BI Specialist – Data Analytics & Data Engineering;Herzum;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Competenze in Data Analytics e Data Engineering valorizzate;Non menziona specificamente No-Code o AI Automation;BI Specialist per Data Analytics e Data Engineering, Herzum.;N/D;N/D;25.000€-35.000€;Buona;Sì;Herzum sembra essere un'azienda IT con opportunità per neolaureati.;Junior IT Consultant;https://www.linkedin.com/jobs/view/4376089160;
Torino;6;Valutabile;Materials & Processes Quality Assurance;Thales;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Ruolo in linea con le sue preferenze per QA e sicurezza;Programmazione richiesta, non specificato se smart working;Offerta per ruolo QA in Thales, junior-friendly;N/D;N/D;25.000€-35.000€;Ottima;Sì;Thales è un'azienda di grandi dimensioni e rinomata;Junior Quality Assurance;https://www.linkedin.com/jobs/view/4358984133;
Torino;6;Valutabile;Impiegato del back office;Numen Spa;Vercelli, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Il contratto dipendente è in linea con le sue preferenze;L'offerta non specifica le tecnologie utilizzate;Offerta per impiegato back office presso Numen Spa, contratto dipendente.;N/D;N/D;20.000€-30.000€;Sconosciuta;Sì;Numen Spa non fornisce informazioni dettagliate sull'offerta;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4380322266;
Torino;6;Valutabile;Assistant (e) CEO Orano Med  et Direction Générale F/H;L'Usine Nouvelle;Chatillon, Valle d'Aosta, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Competenze in vibecoding potrebbero essere utili per progetti di automazione;Offerta non specifica le tecnologie utilizzate;Offerta per Assistant CEO Orano Med, azienda L'Usine Nouvelle, senza dettagli sul ruolo IT;N/D;N/D;30.000€-40.000€;Buona;Sì;L'Usine Nouvelle sembra essere un'azienda consolidata e rispettata;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4372658139;
Torino;6;Valutabile;Administrative Program Officer;Fondazione Ufficio Pio;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Titolo del ruolo potrebbe essere in linea con le sue preferenze per logica e analisi;Manca una chiara indicazione sul tipo di contratto e sulla presenza di smart working;Ruolo Administrative Program Officer, Fondazione Ufficio Pio. Informazioni parziali.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Manca una descrizione dell'azienda e delle sue attività;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4375487230;
Torino;6;Valutabile;UN/UNA ADDETTO/A AL BACK-OFFICE E ASSISTENZA TECNICA;Unoenergy Spa;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Offre un ruolo nel back-office e assistenza tecnica che potrebbe interessare Diego per le sue competenze in analisi e sicurezza.;Il titolo dell'offerta non specifica chiaramente se è presente una componente di AI Automation o No-Code.;Offerta per un ruolo di back-office e assistenza tecnica presso Unoenergy Spa. Potrebbe essere adatta per un neolaureato con competenze in informatica.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Unoenergy Spa potrebbe essere un'azienda da valutare ulteriormente per future opportunità.;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4356801444;
Torino;6;Valutabile;Impiegato del back office;ADHR GROUP;Borgo d’Ale, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta potrebbe essere adatta per un ruolo junior;Manca di dettagli specifici sul ruolo e sulle responsabilità;Offerta per impiegato back office, azienda ADHR GROUP, RAL non specificata;N/D;N/D;Non stimabile;Sconosciuta;Sì;Manca di informazioni sulla cultura aziendale e sui benefici;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4374288362;
Torino;6;Valutabile;Impiegato/a Back Office - Aste Online Auto;BIAUTO GROUP;Settimo Torinese, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta potrebbe essere in linea con le sue preferenze per un ruolo back office;Non sono specificate le tecnologie utilizzate;Offerta per impiegato back office in azienda di aste online auto;N/D;N/D;25.000€-30.000€;Buona;Sì;BIAUTO GROUP sembra essere un'azienda attiva nel settore delle aste online;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4379028812;
Torino;6;Valutabile;Stage Back Office Torino;Horizon SRL;Turin, Piedmont, Italy;linkedin;Media;No;Stage;Sì;0;Stage a Torino, junior-friendly;Non specificato il tipo di lavoro in termini di AI/No-Code;Stage Back Office a Torino, Horizon SRL;N/D;N/D;18.000€-22.000€;Sconosciuta;Sì;Poca informazione disponibile;Junior GRC Analyst;https://www.linkedin.com/jobs/view/4379083567;
Torino;6;Valutabile;Red Team Specialist;7Layers;Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;1;La posizione di Red Team Specialist potrebbe valorizzare le sue conoscenze in cybersecurity;La richiesta di programmazione potrebbe non essere in linea con le sue preferenze;Posizione come Red Team Specialist presso 7Layers, richiede programmazione e potrebbe essere adatta a chi ha conoscenze in cybersecurity;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Azienda poco conosciuta, ma potrebbe offrire opportunità di crescita;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4380333521;
Torino;6;Valutabile;Cyber Security Engineer;MSC Mediterranean Shipping Company;;linkedin;Alta;Non specificato;Dipendente;Sì;0;Esperienza in Cybersecurity;Richiede programmazione intensa;Offerta per Cyber Security Engineer presso MSC Mediterranean Shipping Company;N/D;N/D;35.000€-45.000€;Buona;Sì;Azienda di trasporto marittimo con esperienza internazionale;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4354406736;
Torino;6;Valutabile;Penetration Tester;MSC Mediterranean Shipping Company;;linkedin;Alta;Non specificato;Dipendente;Sì;1;Esperienza in cybersecurity grazie al master;Richiede programmazione intensiva;Penetration Tester presso MSC Mediterranean Shipping Company. Richiede esperienza in sicurezza informatica.;N/D;N/D;30.000€-40.000€;Buona;No;Azienda di trasporto marittimo con necessità di sicurezza informatica avanzata;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4370241079;
Torino;6;Valutabile;AI & Data Security Expert;Ferrero;Alba, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Competenze in AI e sicurezza;Mancanza di dettagli sul tipo di contratto e smart working;L'offerta sembra interessante per Diego, ma manca di dettagli importanti.;N/D;N/D;25.000€-35.000€;Ottima;Sì;Ferrero è un'azienda nota e rispettata nel mercato;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4364396383;
Torino;6;Valutabile;Cybersecurity Design Engineer;Wabtec Corporation;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0;Esperienza in Cybersecurity;Richiede programmazione intensa;Cybersecurity Design Engineer presso Wabtec Corporation, ruolo tecnico con focus su Cybersecurity;N/D;N/D;35.000€-45.000€;Buona;Sì;Wabtec Corporation è un'azienda internazionale con esperienza nel settore;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4377926759;
Torino;6;Valutabile;Senior Cyber Security - Torino;KPMG Italy;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;No;3+;KPMG Italy ha un'ottima reputazione;Richiede esperienza e programmazione;Senior Cyber Security a Torino, contratto dipendente;N/D;N/D;40.000€-60.000€;Ottima;No;KPMG Italy è un'azienda leader nella consulenza;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4236563326;
Torino;6;Valutabile;OT SECURITY SPECIALIST;Grafton Recruitment;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Competenze in Cybersecurity e AI Automation;Offerta non dettagliata;Offerta per OT Security Specialist, junior-friendly, Grafton Recruitment;N/D;N/D;25.000€-35.000€;Buona;Sì;Grafton Recruitment ha una buona reputazione;Junior Cybersecurity Analyst;https://www.linkedin.com/jobs/view/4377757697;
Torino;6;Valutabile;Test Manager/PMO in Ambito FINTECH;Concept Quality Reply;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Ruolo di Test Manager/PMO interessante per le sue competenze in QA e sicurezza;Non menziona specificamente l'utilizzo di AI o No-Code;Test Manager/PMO in ambito FINTECH, Concept Quality Reply, junior-friendly.;N/D;N/D;30.000€-45.000€;Buona;Sì;Concept Quality Reply sembra essere un'azienda di Reply specializzata in qualità;Junior Quality Assurance;https://www.linkedin.com/jobs/view/4372465916;
Torino;6;Valutabile;Intern - Internal Audit, Governance, Risk & Controls, IT Audit - Torino [OTS];PwC Italy;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta proviene da un'azienda con ottima reputazione.;L'offerta potrebbe richiedere più programmazione di quanto Diego desideri.;Offerta di internship per Internal Audit presso PwC Italy.;N/D;N/D;20.000€-30.000€;Ottima;Sì;PwC Italy è un'azienda molto nota e rispettata nel settore.;Junior IT Auditor;https://www.linkedin.com/jobs/view/4342061891;
Torino;6;Valutabile;ICT Auditor;Sella;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;"Esperienza in ambito ICT e possibilità di lavorare per un'azienda con reputazione ""Sella""";Mancanza di informazioni dettagliate sul tipo di contratto e sullo smart working;Offerta per ICT Auditor presso Sella, junior-friendly, RAL non specificata;N/D;N/D;25.000€-35.000€;Ottima;Sì;Sella è un'azienda consolidata nel settore finanziario;Junior IT Auditor;https://www.linkedin.com/jobs/view/4270299834;
Torino;6;Valutabile;Experienced – Internal Control over Financial Reporting (L262/05 – SOX) and Internal Audit - MI/TO/RM;Deloitte;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;No;3+;Esperienza in Internal Audit e Internal Control potrebbe essere utile per ruoli di QA e sicurezza;Richiede esperienza e non sembra essere junior-friendly;Deloitte cerca un esperto per Internal Control over Financial Reporting e Internal Audit;N/D;N/D;50.000€-80.000€;Ottima;No;Deloitte è una delle Big Four, offre opportunità di crescita ma richiede esperienza;Junior IT Auditor;https://www.linkedin.com/jobs/view/4224337425;
Torino;6;Valutabile;Sistemista;agap2 Italia;;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta potrebbe essere adatta per un ruolo di sistemista che non richiede programmazione intensa.;Manca di dettagli specifici sul tipo di contratto e sullo smart working.;L'offerta è per un sistemista presso agap2 Italia, con possibilità di essere junior-friendly.;N/D;N/D;25.000€-35.000€;Buona;Sì;Azienda con esperienza nella gestione di progetti IT.;Junior System Administrator;https://www.linkedin.com/jobs/view/4375240081;
Torino;6;Valutabile;Sistemista;Randstad Digital Italia;Collegno, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Possibilità di lavorare in un'azienda come Randstad Digital Italia con una buona reputazione.;Manca la descrizione dell'offerta e dei requisiti specifici per il ruolo di Sistemista.;Offerta per Sistemista presso Randstad Digital Italia, contratto dipendente, junior-friendly.;N/D;N/D;25.000€-35.000€;Buona;Sì;Randstad Digital Italia è una società di Randstad, nota per le sue offerte di lavoro nel settore digitale.;Junior System Administrator;https://www.linkedin.com/jobs/view/4364745775;
Torino;6;Valutabile;System Engineer- AUTOMOTIVE;ALTEN Italia;;linkedin;Alta;Non specificato;Dipendente;Sì;1;ALTEN Italia potrebbe apprezzare le sue competenze in sicurezza e analisi;L'offerta sembra richiedere molta programmazione, contrariamente alle sue preferenze;System Engineer in ALTEN Italia, settore automotive. Richiede programmazione avanzata;N/D;N/D;30.000€-40.000€;Buona;Sì;ALTEN Italia è una società di consulenza tecnologica con esperienza nel settore automotive;Junior System Administrator;https://www.linkedin.com/jobs/view/4373432511;
Torino;6;Valutabile;Sistemista Linux;Adecco;;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta è per un ruolo di Sistemista Linux che potrebbe valorizzare le sue conoscenze in ambito IT.;Il titolo dell'offerta non menziona esplicitamente aspetti legati all'AI o alla sicurezza che Diego preferisce.;L'offerta è per un Sistemista Linux presso Adecco, potrebbe essere adatta per Diego.;N/D;N/D;25.000€-35.000€;Buona;Sì;Adecco è una nota agenzia di lavoro interinale e di servizi per l'impiego.;Junior System Administrator;https://www.linkedin.com/jobs/view/4373748909;
Torino;6;Valutabile;System Engineer (ref.1794-1795);Stellantis;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Titolo coerente con le sue aspirazioni;Mancanza di dettagli sull'offerta;System Engineer presso Stellantis, contratto dipendente;N/D;N/D;25.000€-35.000€;Buona;Sì;Stellantis è un'azienda multinazionale nota;Junior System Administrator;https://www.linkedin.com/jobs/view/4347899595;
Torino;6;Valutabile;System Engineer;RINA;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;0|1;Esperienza in cybersecurity e sviluppo;Richiede programmazione intensa;System Engineer presso RINA, ruolo tecnico;N/D;N/D;25.000€-35.000€;Buona;Sì;RINA è un'azienda internazionale con una buona reputazione;Junior System Administrator;https://www.linkedin.com/jobs/view/4312161476;
Torino;6;Valutabile;System Engineer - Zucchetti Hospitality;Zucchetti;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0;Esperienza in ambito IT e background in Cybersecurity;Richiede programmazione, non adatta per chi vuole evitare il coding;System Engineer per Zucchetti Hospitality, richiede esperienza tecnica e programmazione;N/D;N/D;25.000€-35.000€;Buona;Sì;Zucchetti è un'azienda nota nel settore Hospitality;Junior System Administrator;https://www.linkedin.com/jobs/view/4344628889;
Torino;6;Valutabile;System & Plaftorm Engineer;MC Engineering;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;0|1;Competenze in ambito IT e Cybersecurity;Richiesta di programmazione intensa;L'offerta richiede programmazione avanzata, MC Engineering sembra essere junior-friendly.;N/D;N/D;25.000€-35.000€;Buona;Sì;MC Engineering sembra avere una buona reputazione per i neolaureati;Junior System Administrator;https://www.linkedin.com/jobs/view/4369646795;
Torino;6;Valutabile;Data Analyst;Unical;Casale Monferrato, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0|1;Data Analyst può essere un buon punto di partenza per le sue aspirazioni di analisi e QA;Non è chiaro se l'offerta prevede lavoro prettamente di programmazione;Data Analyst in Unical, contratto e dettagli smart working non specificati;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Poco conosciuta sul mercato del lavoro IT;Junior IT Consultant;https://www.linkedin.com/jobs/view/4377132907;
Torino;6;Valutabile;E/E SYSTEM ENGINEER - Aerospace & Defense;Teoresi Group;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;1;Esperienza nel settore Aerospace & Defense;Richiede programmazione avanzata;E/E System Engineer per Aerospace & Defense, contratto dipendente;N/D;N/D;35.000€-50.000€;Buona;No;Teoresi Group è un'azienda consolidata nel settore;Junior System Administrator;https://www.linkedin.com/jobs/view/4328788841;
Torino;6;Valutabile;System Engineer;Wabtec Corporation;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0;Esperienza in ambito IT e background in Cybersecurity;Richiede programmazione intensa;System Engineer presso Wabtec Corporation, ruolo tecnico con possibilità di crescita.;N/D;N/D;35.000€-45.000€;Buona;Sì;Wabtec Corporation è un'azienda leader nel settore ferroviario e industriale;Junior System Administrator;https://www.linkedin.com/jobs/view/4377931490;
Torino;6;Valutabile;System Engineer - AEROSPACE;ALTEN Italia;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;1;ALTEN Italia potrebbe apprezzare le sue competenze in Cybersecurity;L'offerta sembra richiedere una forte componente di programmazione;System Engineer per settore AEROSPACE, ALTEN Italia;N/D;N/D;30.000€-40.000€;Buona;Sì;ALTEN Italia è una società di consulenza tecnologica con esperienza nel settore AEROSPACE;Junior System Administrator;https://www.linkedin.com/jobs/view/4377952497;
Torino;6;Valutabile;IT Support & ERP Specialist;iziwork Italia;Vinovo, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Offerta per neolaureati o junior;Manca dettaglio sul ruolo specifico;Offerta per IT Support & ERP Specialist, azienda iziwork Italia;N/D;N/D;20.000€-30.000€;Sconosciuta;Sì;Azienda focalizzata su progetti IT;Junior System Administrator;https://www.linkedin.com/jobs/view/4378770382;
Torino;6;Valutabile;Junior System Admistrator;Abacus Group;Grugliasco, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Il ruolo di Junior System Administrator potrebbe valorizzare le sue conoscenze in ambito IT e sicurezza.;L'offerta non specifica se è prevista una formazione continua o se il ruolo è focalizzato su attività di programmazione.;L'offerta è per un Junior System Administrator presso Abacus Group, con possibilità di essere un'opzione interessante per Diego.;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Manca informazione dettagliata sull'azienda e sul ruolo specifico.;Junior System Administrator;https://www.linkedin.com/jobs/view/4377923931;
Torino;6;Valutabile;Windows System Administrator;MSC Mediterranean Shipping Company;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Non è specificato se l'azienda apprezza le skill di AI Automation;Il titolo del lavoro non corrisponde alle preferenze di Diego (System Administrator vs AI Automation);L'offerta sembra essere per un ruolo di amministratore di sistema Windows, con possibilità di essere junior-friendly;N/D;N/D;25.000€-35.000€;Ottima;Sì;MSC Mediterranean Shipping Company è un'azienda di shipping nota a livello internazionale;Junior System Administrator;https://www.linkedin.com/jobs/view/4378818353;
Torino;6;Valutabile;QC Spa Torino - Manutentore;QC Terme spas and resorts;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta è per un ruolo di manutenzione che potrebbe interessare Diego per le sue competenze in QA e sicurezza.;Diego preferisce ruoli con meno programmazione, mentre l'offerta richiede manutenzione che potrebbe includere coding.;L'offerta è per un manutentore presso QC Spa Torino. Il ruolo sembra adatto per un neolaureato.;N/D;N/D;25.000€-35.000€;Buona;Sì;QC Terme spas and resorts è un'azienda nota nel settore dei resort e spa.;Junior Quality Assurance;https://www.linkedin.com/jobs/view/4374631657;
Torino;6;Valutabile;Senior Murex Consultant;NTT DATA Europe & Latam;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;No;3+;Nessuna menzione specifica alle skill di Diego;Richiede esperienza come Senior Murex Consultant;Offerta per Senior Murex Consultant, contratto dipendente, azienda NTT DATA Europe & Latam;N/D;N/D;Non stimabile;Buona;No;NTT DATA Europe & Latam è un'azienda consolidata nel settore IT;Junior Quality Assurance;https://www.linkedin.com/jobs/view/4315877347;
Torino;6;Valutabile;System Engineer Packaging ( Avamprogettista);SACMI Packaging & Chocolate S.p.A.;Alba, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;1;Titolo del lavoro in linea con le sue competenze;Richiede programmazione, non ideale per Diego;System Engineer Packaging per SACMI Packaging & Chocolate S.p.A., contratto dipendente;N/D;N/D;30.000€-40.000€;Buona;Sì;Azienda leader nel settore packaging;Junior System Administrator;https://www.linkedin.com/jobs/view/4374491845;
Torino;6;Valutabile;Quality Assurance on the floor;Amaris Consulting;Ivrea, Piedmont, Italy;linkedin;Media;Sì;Dipendente;Sì;0;Il titolo dell'offerta menziona Quality Assurance, che è in linea con le preferenze di Diego.;L'offerta non specifica se è prevista la possibilità di smart working ibrido o full-remote.;Offerta per Quality Assurance in Amaris Consulting, con possibilità di smart working.;N/D;N/D;25.000€-35.000€;Buona;Sì;Amaris Consulting sembra essere un'azienda rispettabile nel settore IT.;Junior Quality Assurance;https://www.linkedin.com/jobs/view/4376800499;
Torino;6;Valutabile;Junior Data Analyst Internship;Azimut Yachts;Avigliana, Piedmont, Italy;linkedin;Media;Non specificato;Stage;Sì;0;Non sembra utilizzare le sue abilità di vibecoding;Potrebbe non essere adatta alle sue preferenze per logica e analisi;Junior Data Analyst Internship presso Azimut Yachts, contratto di stage;N/D;N/D;18.000€-25.000€;Buona;Sì;Azienda di lusso nel settore nautico;Junior Data Analyst;https://www.linkedin.com/jobs/view/4379929889;
Torino;6;Valutabile;Junior Data Analyst;Sella Personal Credit;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Il ruolo di Junior Data Analyst potrebbe valorizzare le sue capacità di analisi.;L'offerta non specifica se ci sono possibilità di lavorare con tool AI e automazione.;L'offerta è per un Junior Data Analyst presso Sella Personal Credit. Il ruolo sembra adatto per un neolaureato.;N/D;N/D;25.000€-35.000€;Buona;Sì;Sella Personal Credit è un'azienda nota nel settore finanziario.;Junior Data Analyst;https://www.linkedin.com/jobs/view/4377755063;
Torino;6;Valutabile;HIL Engineer – Analisi report e Troubleshooting;ANKERS;;linkedin;Media;Non specificato;Non specificato;Sì;0|1;Troubleshooting e analisi report sono coerenti con le sue preferenze;"Il titolo ""HIL Engineer"" potrebbe richiedere competenze specifiche non menzionate";L'offerta sembra adatta per Diego, con possibilità di analisi e troubleshooting;N/D;N/D;25.000€-35.000€;Sconosciuta;Sì;Poca informazione disponibile su ANKERS;Junior Business Analyst IT;https://www.linkedin.com/jobs/view/4376569126;
Torino;6;Valutabile;Analista funzionale CRM (Rif. 2025-243);aizoOn Technology Consulting;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;L'offerta sembra essere in linea con le sue preferenze per analisi e logica.;La richiesta di programmazione potrebbe non essere ideale per Diego.;L'offerta è per un Analista funzionale CRM, potrebbe essere adatta a Diego.;N/D;N/D;25.000€-35.000€;Buona;Sì;aizoOn Technology Consulting sembra essere un'azienda di consulenza tecnologica.;Junior Business Analyst IT;https://www.linkedin.com/jobs/view/4274219271;
Torino;6;Valutabile;Data Scientist;Zucchetti;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Non specificato;Sì;0;Competenze in Cybersecurity e Data Science;Richiede programmazione, non adatta per chi vuole evitare il codice;Data Scientist presso Zucchetti, richiede competenze di programmazione e Data Science;N/D;N/D;25.000€-35.000€;Buona;Sì;Zucchetti è un'azienda consolidata nel settore IT;Junior Business Analyst IT;https://www.linkedin.com/jobs/view/4376740899;
Torino;6;Valutabile;Global Data Junior Scientist SD&I Immuno;Diasorin;Saluggia, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;Titolo del ruolo in linea con le sue aspirazioni;Mancanza di dettagli sull'offerta;Offerta per Global Data Junior Scientist, azienda Diasorin;N/D;N/D;25.000€-35.000€;Buona;Sì;Diasorin è un'azienda nota nel settore diagnostico;Junior Business Analyst IT;https://www.linkedin.com/jobs/view/4369247181;
Torino;6;Valutabile;Data Scientist;Lavazza Group;Turin, Piedmont, Italy;linkedin;Alta;Non specificato;Dipendente;Sì;0;Lavazza Group ha una buona reputazione;Data Scientist potrebbe richiedere molta programmazione;Data Scientist per Lavazza Group, contratto dipendente;N/D;N/D;35.000€-45.000€;Ottima;Sì;Lavazza Group è un'azienda nota e rispettata nel mercato italiano;Junior Business Analyst IT;https://www.linkedin.com/jobs/view/4362841016;
Torino;6;Valutabile;Business Analyst (Rif. 2026-80);aizoOn Technology Consulting;;linkedin;Media;Non specificato;Dipendente;Sì;0;Il ruolo di Business Analyst potrebbe valorizzare le sue capacità di analisi;Potrebbe richiedere più programmazione di quanto Diego preferisca;L'offerta è per un Business Analyst presso aizoOn Technology Consulting, con possibilità di essere junior-friendly;N/D;N/D;30.000€-40.000€;Buona;Sì;aizoOn Technology Consulting è una società di consulenza tecnologica;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4377779379;
Torino;6;Valutabile;Business analyst - categoria protetta ivrea;Zeta Service I Head Hunting;Ivrea, Piedmont, Italy;linkedin;Bassa;Non specificato;Dipendente;Sì;0;Il ruolo di Business Analyst potrebbe valorizzare le sue capacità di analisi e logica;Potrebbe richiedere meno competenze legate all'AI e all'automazione rispetto alle sue aspirazioni;Ruolo di Business Analyst per categoria protetta a Ivrea, smart working non specificato;N/D;N/D;25.000€-35.000€;Buona;Sì;Zeta Service I Head Hunting sembra avere una buona reputazione come agenzia di recruitment;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4365862843;
Torino;6;Valutabile;Business analyst - categoria protetta (torino);Zeta Service I Head Hunting;Turin, Piedmont, Italy;linkedin;Bassa;Non specificato;Dipendente;Sì;0;Il ruolo di Business Analyst potrebbe valorizzare le sue capacità di analisi;Potrebbe richiedere alcune competenze tecniche specifiche;Ruolo di Business Analyst a Torino, categoria protetta, junior-friendly;N/D;N/D;25.000€-35.000€;Buona;Sì;Zeta Service I Head Hunting sembra avere una buona reputazione;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4365872013;
Torino;6;Valutabile;Stage Analista funzionale;Miroglio Group;Alba, Piedmont, Italy;linkedin;Media;Non specificato;Stage;Sì;0;Stage come analista funzionale può essere un buon punto di partenza;Non è chiaro se ci sarà spazio per utilizzare le sue abilità in AI Automation;Stage Analista Funzionale presso Miroglio Group, contratto di stage;N/D;N/D;18.000€-25.000€;Buona;Sì;Miroglio Group è un'azienda consolidata nel settore della moda e del retail;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4366071078;
Torino;6;Valutabile;Business Analyst Prodotti Finanziari (Rif. 2025-307);aizoOn Technology Consulting;Biella, Piedmont, Italy;linkedin;Media;Non specificato;Dipendente;Sì;0;L'offerta è per un ruolo di Business Analyst che potrebbe valorizzare le sue capacità di analisi.;Il titolo dell'offerta non menziona direttamente l'ambito della cybersecurity o dell'AI Automation.;L'offerta è per un Business Analyst in prodotti finanziari presso aizoOn Technology Consulting.;N/D;N/D;35.000€-45.000€;Buona;Sì;Azienda di technology consulting.;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4303451733;
Torino;6;Valutabile;Business Analyst ambito Insurance;Dedagroup;Turin, Piedmont, Italy;linkedin;Media;Non specificato;Non specificato;Sì;0;Non sono richiesti skills di programmazione avanzata;Il titolo di Business Analyst potrebbe non valorizzare le sue skills in AI Automation;L'offerta sembra adatta per Diego come Business Analyst in ambito Insurance;N/D;N/D;25.000€-35.000€;Buona;Sì;Dedagroup sembra essere un'azienda consolidata nel settore IT;Analista Funzionale Junior;https://www.linkedin.com/jobs/view/4368258587;
